Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6283.001,7567.254,9274.514,10767.4,11638.73,12850.22,13657.67,14970.15,16675.28,17140.43,17375.23,18713.43,19742.32,19833.83,21023.16,20913.3,21377.1,22050.83,24104.65,24975.67,25833.45,27665.43,29011.56,25739.14,24452.93,26044.44,25609.96,26515.68,26942.31,28421.39,28451.27,29326.71,30918.52,31902.76,24487.86,29342.1,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,161.639,161.1117,170.5385,198.0389,178.0192,196.8188,207.9456,210.1499,223.0407,248.4482,258.7604,277.0281,290.9295,369.7824,441.2141,455.8082,439.6276,484.275,533.7681,598.5166,741.3057,739.0987,685.0235,694.5371,617.3755,510.4143,554.458,656.1152,699.3489,724.7545,819.8443,869.1316,752.7161,723.8028,695.6966,764.7884,742.428,761.2314,698.5628,671.8622,709.061,630.1989,630.4791,816.4377,989.2208,1124.22,1230.195,1374.086,1433.258,1417.131,1649.639,1799.623,1765.25,1736.223,1724.534,1545.559,1436.094,1613.668,1550.112,1499.954,1353.928,1539.166,1622.392
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,62.36937,62.4437,60.95036,82.02174,85.51107,105.2432,143.1032,167.1657,134.0128,134.2504,162.6422,166.2248,141.3653,149.7441,181.5988,194.669,205.6741,232.7787,255.0456,284.7555,291.6498,311.8536,,,,,,,,,,,,,,,,,,,,,183.5328,200.4624,221.6577,255.0551,274.0007,375.0783,387.8493,443.8452,554.5947,621.9124,663.1411,651.9879,628.1468,592.4762,520.252,530.1499,502.0571,500.523,516.8668,363.6741,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.4238,112.5039,118.1974,122.7741,131.1638,137.8098,143.6016,128.0496,129.1236,143.1456,194.3274,168.3853,199.3198,244.9053,331.5818,375.6286,441.4012,451.9972,479.1776,579.6203,712.4264,1301.958,1122.29,806.5914,650.4597,645.8286,580.9087,580.4616,558.4478,507.7406,591.9896,556.3373,545.466,443.5977,377.2117,460.8251,521.4168,513.0505,511.4946,526.2482,522.7728,535.8979,621.8625,700.4434,843.9898,1003.437,1245.823,1420.84,1685.371,1467.241,1679.647,1860.944,1957.52,2153.766,2247.857,1880.751,1646.972,1588.581,1732.817,1810.538,1686.998,1765.965,1790.349
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,711.9412,643.0529,620.3631,623.5339,637.5198,757.6324,684.4893,755.9724,792.9141,891.8032,949.3498,1038.914,1196.465,847.6538,251.8565,399.7356,523.3109,514.3099,423.3935,387.6894,556.8842,527.4641,872.6576,982.8056,1254.696,1900.724,2597.964,3121.349,4081.717,3123.699,3496.785,4511.153,4962.552,5101.984,5059.08,3100.831,1709.516,2283.214,2487.501,2142.239,1502.951,1903.717,2998.501
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847,639.8659,693.8735,674.7934,652.7743,697.9956,617.2304,336.587,200.8522,367.2792,586.4161,750.6044,1009.977,717.38,813.7894,1033.243,1126.683,1281.66,1425.124,1846.12,2373.581,2673.788,2972.744,3595.038,4370.54,4114.134,4094.35,4437.141,4247.631,4413.063,4578.633,3952.804,4124.055,4531.032,5287.661,5396.214,5343.038,6377.203,6802.805
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3958.591,4193.161,4967.344,6183.806,7174.448,7963.563,7758.724,8206.986,9456.017,12054.02,12534.82,10516.75,9739.23,8108.676,7825.16,7914.878,10568.93,12833,14529.06,15404.82,19208.67,19967.73,21123.07,17024.32,16670.95,18731.65,19081.54,18253.09,18592.24,18884.17,21620.47,22809.09,24784.96,31954.16,37630.76,39583.93,43084.29,50562.86,53721.41,49750.69,48237.89,51428.2,44902.38,44747.75,45680.53,38885.53,39931.22,40632.23,42904.83,41328.6,37207.22,42072.34,41992.79
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,299.97,317.7143,349.2005,392.3528,454.7325,560.6362,1034.689,1108.023,1331.697,1485.099,1592.482,2085.998,2741.71,2742.696,2489.395,2270.024,2239.665,2140.702,2015.599,2119.385,1990.565,2081.179,2850.802,2043.866,2002.598,1986.731,2034.346,2173.726,2344.635,2469.834,2366.064,2556.452,2857.133,2735.425,2693.038,2915.514,3392.62,4069.149,4701.931,5327.235,6528.65,5585.456,6406.314,6864.434,7365.457,7348.85,7302.25,6283.256,6113.398,6224.523,6573.817,6498.529,5639.399,6414.726,7655.848
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27090.34,31282.77,35186.23,29526.64,34372.38,42995.16,44841.23,39921.63,34586.53,31955.18,29432.83,23111.38,23088.2,21545.46,23141.01,26682.85,25668.49,25630.08,25019.37,25463.5,27010.68,28596.51,28709.25,25905.84,27261.91,31855.5,29909.01,30221.97,32607.37,37017.74,42190.55,45339.59,43918.38,45140.77,31722.59,34165.91,40893.02,44386.79,45729.61,46865.96,41525.14,41054.54,43063.97,46722.27,45376.17,37629.17,44315.55,53757.86
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1163.187,855.2757,1179.504,1285.261,1277.968,1065.899,1143.81,1331.64,1324.685,1374.424,1411.177,2100.031,2846.266,2026.571,1946.329,2125.532,3280.375,2510.586,2746.207,2763.375,2914.918,3539.457,3919.09,2910.508,3443.191,3485.69,4004.01,2382.338,4330.967,5730.724,6815.332,6957.417,7464.475,7383.705,7690.157,8176.771,8250.673,7735.322,7666.518,7168.976,2579.489,3333.153,4258.16,5086.628,5890.978,7210.596,8977.507,8184.39,10385.96,12848.74,13082.66,13080.25,12334.8,13789.06,12790.26,14613.04,11795.16,9963.674,8496.428,10636.12,13686.01
